cbsa,year,peducgrp,age_cat,prob_unbanked_wage,prob_unbanked_se,prob_unbanked_notwork,prob_mobile_wage,prob_mobile_se,prob_mobile_notwork,prob_branch_wage,prob_branch_se,prob_branch_notwork,pct_broadband,female,married,has_children,n
33460,2021,4,3,0,0,0,.063268796,0,0,.88776124,.048969969,.035107464,92.800003,.44506505,.73132449,.51896262,30
33460,2023,4,2,0,0,0,.11114305,.027458059,0,.69876432,.16263457,0,92.800003,.44161329,.63036621,.54831868,31
33460,2023,4,3,0,0,0,.18649268,0,0,.69774073,.11576658,.026858054,92.800003,.46029326,.68052232,.21641745,40
35620,2013,4,1,0,0,0,.11824209,0,0,.63678676,.21561433,.029356804,90.900002,.45151433,.28406161,.097690411,37
35620,2013,1,2,.30581912,.020086266,.073580824,.047339525,0,0,.56485772,.043144561,.020086266,90.900002,.43365854,.41583019,.56686491,43
35620,2013,2,2,.21202753,0,.066580527,0,0,0,.73352873,.054443736,.056297343,90.900002,.55146366,.4455812,.70482469,49
35620,2013,3,2,.097708732,0,.03466272,.12484512,.023288311,.023288311,.69569635,.058461487,.044395767,90.900002,.52845073,.58481938,.59931242,62
35620,2013,4,2,0,0,0,.15424114,.012036901,.016334191,.75447494,.072751127,.025928343,90.900002,.44641101,.56282216,.50420004,143
35620,2013,2,3,.12884031,0,.026106371,.034718208,0,0,.77130896,.065132536,.040995646,90.900002,.3483904,.69488674,.27815789,96
35620,2013,3,3,.036236856,.014233325,0,.051688027,0,0,.73945665,.15838516,.034924988,90.900002,.42731744,.62106144,.33583283,85
35620,2013,4,3,.01337235,.0067315646,0,.040425502,.013626976,.0040884926,.77005452,.15578911,.062642306,90.900002,.4551492,.58410448,.31166312,186
35620,2015,4,1,0,.016023312,0,.10535162,0,0,.82941502,.03342741,.07113453,90.900002,.43562686,.22065866,.040614791,50
35620,2015,2,2,.16883597,0,.014061129,.094046131,0,0,.67090338,.066214532,.041155893,90.900002,.57028651,.52979678,.68876308,47
35620,2015,3,2,.056898788,.016407063,0,.12443253,0,0,.76988745,.032374196,0,90.900002,.36020231,.61338025,.66110051,51
35620,2015,4,2,.014002822,0,0,.094925515,.0099967169,0,.81155044,.069524527,.014398511,90.900002,.45235455,.55972993,.46217352,143
35620,2015,2,3,.070083112,0,.018579431,.065543279,0,0,.70687902,.15749462,.022742122,90.900002,.43151927,.62891889,.29648331,73
35620,2015,3,3,.043065809,.010350971,0,.026286095,0,0,.74364358,.17665353,.063293554,90.900002,.42302468,.49259588,.27997369,80
35620,2015,4,3,.018100901,.0058472701,.0058472701,.05944337,.0072192913,0,.72523129,.17396681,.019405238,90.900002,.4646619,.58925211,.2914941,163
35620,2017,4,1,.036196034,0,0,.182258,0,0,.73358083,.047965147,.022329956,90.900002,.31325024,.19702074,.027677419,35
35620,2017,2,2,.19566998,0,.023388332,0,0,0,.70542526,.098904774,0,90.900002,.37757838,.52338147,.55766833,31
35620,2017,3,2,.059567131,0,0,.14717059,0,0,.774611,.018651288,.017812947,90.900002,.38260075,.52802062,.51396614,52
35620,2017,4,2,.013915355,0,0,.10365221,0,0,.82948351,.052948907,.029320559,90.900002,.451213,.58002019,.52006382,131
35620,2017,2,3,.10860734,0,.041724991,.040194158,0,0,.77466691,.076531567,0,90.900002,.33123589,.52592212,.20750685,65
35620,2017,3,3,.047277845,0,0,.10458229,.01440487,0,.73245001,.101285,.063136101,90.900002,.59005606,.46959239,.26854539,79
35620,2017,4,3,.019581411,.0054459288,0,.069496781,.010186324,0,.76708096,.12820861,.027159173,90.900002,.48533186,.56514657,.24057302,175
35620,2019,4,1,0,0,0,.01808588,0,0,.9819141,0,.052431773,90.900002,.59062213,.16224374,.041288633,42
35620,2019,2,2,.18669108,0,.028179474,.052230038,0,0,.65134108,.10973784,0,90.900002,.45713964,.57610381,.53558683,30
35620,2019,4,2,.0065961955,0,0,.029246526,0,0,.88279533,.081361964,.0058380924,90.900002,.40343073,.56609619,.46184897,140
35620,2019,2,3,.020540895,.023666974,.020540895,.045884237,.020105861,0,.75677943,.13302262,.045555539,90.900002,.55672896,.57056987,.26125464,57
35620,2019,3,3,.057179537,0,0,.040785965,.012849442,0,.81856477,.070620298,.015988823,90.900002,.48756188,.47313964,.22447638,71
35620,2019,4,3,.007631382,0,0,.03413295,.0054909629,0,.84110111,.1116436,0,90.900002,.4748911,.64026159,.30048129,143
35620,2021,4,1,0,0,0,.12822847,0,0,.83112168,.040649872,0,90.900002,.57160342,.099187106,.087536857,31
35620,2021,4,2,0,0,0,.080099843,.0099445041,0,.81446564,.095490031,.049069107,90.900002,.53526145,.65533352,.53741288,91
35620,2021,2,3,.081791408,0,0,.037390232,0,0,.81027442,.070543908,.12011227,90.900002,.55071551,.44624445,.10683291,39
