"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Same-Sign",10000,35,4,-21371.5851364516,43212.897631874,43057.4548952401,-2.62465594956947,0.0308991703347756,4,4,2,4
"Same-Sign",10000,35,5,-21636.3038024387,43862.069388684,43667.0039936924,-3.05023860595551,0.0312638300520765,4,4,2,4
"Same-Sign",10000,36,1,-21724.129271999,43558.7826284617,43522.2078669008,6.79154441334934,0.0428036425733223,3,5,3,3
"Same-Sign",10000,36,2,-21734.5138838004,43699.2862769002,43623.0888569816,3.66667129922955,0.022180344631463,3,5,3,3
"Same-Sign",10000,36,3,-21614.5332455908,43579.0594253167,43463.2393470405,-8.00694738796197,0.0496948284889697,3,5,3,3
"Same-Sign",10000,36,4,-21653.4709643959,43776.6692877627,43621.2265511287,9.86633680521399,0.0396175347160762,3,5,3,3
"Same-Sign",10000,36,5,-21627.7760172729,43845.0138183522,43649.9484233606,5.64407142263312,0.0356751659787902,3,5,3,3
"Same-Sign",10000,37,1,-21975.8608015724,44062.2456876084,44025.6709260475,0.585130813191565,0.0622625060284479,2,3,3,3
"Same-Sign",10000,37,2,-21343.3456816901,42916.9498726797,42840.7524527611,2.9035022096022,0.0567064128819892,2,3,3,3
"Same-Sign",10000,37,3,-21499.5110949289,43349.015123993,43233.1950457167,3.82424086413468,0.0162398727026704,2,3,3,3
"Same-Sign",10000,37,4,-21908.5349367297,44286.7972324302,44131.3544957962,0.120439560814339,0.0181485690341997,2,3,3,3
"Same-Sign",10000,37,5,-21645.0314894923,43879.524762791,43684.4593677995,5.77340056337295,0.049764972564326,2,3,3,3
"Same-Sign",10000,38,1,-21830.5022873059,43771.5286590754,43734.9538975145,17.7190932006053,0.0046425966498578,2,3,3,3
"Same-Sign",10000,38,2,-21500.0165561891,43230.2916216776,43154.094201759,1.08103017109233,0.032318501215281,2,3,3,3
"Same-Sign",10000,38,3,-21736.2223112648,43822.4375566648,43706.6174783885,1.8413460582533,-0.0113552599146228,2,3,3,3
"Same-Sign",10000,38,4,-21814.7409461267,44099.2092512242,43943.7665145902,0.799543194735568,0.0046308164443563,2,3,3,3
"Same-Sign",10000,38,5,-21601.7245206604,43792.9108251272,43597.8454301356,1.53257540722306,0.0280193590154596,2,3,3,3
"Same-Sign",10000,39,1,-21701.060522889,43512.6451302417,43476.0703686808,10.3720412277267,0.0341133689255883,2,5,4,2
"Same-Sign",10000,39,2,-21385.980492537,43002.2194943734,42926.0220744548,-7.96223494456281,0.0156103964488506,2,5,4,2
"Same-Sign",10000,39,3,-21610.6600268365,43571.3129878081,43455.4929095319,8.80090062099037,0.0305641416010261,2,5,4,2
"Same-Sign",10000,39,4,-21323.5416882126,43116.810735396,42961.3679987621,0.0537636700622073,0.0155523428041125,2,5,4,2
"Same-Sign",10000,39,5,-21758.773066041,44107.0079158885,43911.9425208969,-2.97727855512461,-0.00701871101245813,2,5,4,2
"Same-Sign",10000,40,1,-21743.8311439607,43598.1863723851,43561.6116108241,10.2487648460036,0.151264108342971,3,5,3,3
"Same-Sign",10000,40,2,-22169.8727231163,44570.003955532,44493.8065356134,-4.33621635624789,0.0648846296223448,3,5,3,3
"Same-Sign",10000,40,3,-21420.8796384111,43191.7522109573,43075.932132681,0.656285622460209,0.0518271364147198,3,5,3,3
"Same-Sign",10000,40,4,-21515.687865971,43501.1030909129,43345.660354279,5.49682043014489,-0.00260104118788973,3,5,3,3
"Same-Sign",10000,40,5,-21737.8093580988,44065.080500004,43870.0151050125,2.67615773500598,0.0114650270681252,3,5,3,3
