"gamma_bar","rep","K_est","cf_effect","k_selected_consensus","gamma_weighted","bic_panel"
0,15,2,6.06415068666781,3,0.0592096542155496,43089.1896413598
0,15,3,7.12097481744076,3,0.0245715117480271,43562.1637310543
0,15,4,5.67716563044786,3,0.00123415360658281,43811.0547265822
0,15,5,4.89666412523374,3,-0.0103580066924307,43948.7884921225
0,16,1,2.33306898367181,2,0.00384526792532476,43887.0738639625
0,16,2,-1.98858731392431,2,0.0661439280018952,43078.0241284154
0,16,3,-1.42468045897719,2,0.0565918951422285,43938.9647986217
0,16,4,3.23746214313042,2,0.00674023990824599,43180.8939560935
0,16,5,2.86881939803969,2,0.0238889315927395,43569.0322688247
0,17,1,10.3586312638709,4,0.0699050926756304,43527.5307889968
0,17,2,2.74398686373851,4,0.0245235071752565,43464.442073788
0,17,3,16.1379327139153,4,0.0286057236441309,43397.7288716724
0,17,4,4.80508337073917,4,0.0181216445588567,43275.6186793629
0,17,5,1.99847289855272,4,0.032822373811654,43502.8425964676
0,18,1,-5.19687420311833,3,0.101648664081272,43295.1730520512
0,18,2,-2.36784785850849,3,0.0342914667017994,43288.6186117349
0,18,3,-2.24742554430156,3,0.0270899936281274,43440.5768264401
0,18,4,-2.1474898636988,3,0.00750794474614062,43217.8807379158
0,18,5,14.8036795729694,3,-0.00982003406167585,43780.8399999635
0,19,1,3.38009146284383,3,0.0620188670148606,43222.3898752335
0,19,2,2.00049846511992,3,-0.00164819819553708,43270.871330458
0,19,3,10.5151643678057,3,0.0155495935379979,43159.2683949308
0,19,4,3.13935152984045,3,0.00100925725059232,43400.8116968422
0,19,5,8.05340998810301,3,0.0267557730494622,43711.8130507491
0,20,1,-2.08245809800573,4,0.0776371965229739,43091.9836636179
0,20,2,13.8238967477751,4,-0.00480148496231213,43999.4448025922
0,20,3,1.15914389739838,4,0.00995658273001128,44396.2502592704
0,20,4,-0.767799253217495,4,0.0239355919218669,43349.7180764977
0,20,5,2.59159477597536,4,0.0291151940976025,43876.6633317329
0,21,1,-1.06698879958961,2,0.035784981519579,43298.0084908929
0,21,2,10.1791909908204,2,0.0236636230162249,43239.9180356451
0,21,3,2.91708228914775,2,0.050618721126219,43689.6879400476
0,21,4,7.73071773346979,2,0.0281256208118728,44375.2690774757
0,21,5,8.66154387429367,2,0.00708670155410786,43968.4852439133
0,22,1,13.2382372816417,1,0.0275231180785822,42946.1593584156
0,22,2,8.64258657898876,1,0.00599916104985128,43122.7511180663
0,22,3,12.0939455241748,1,0.0410419629131573,43843.8761851755
0,22,4,11.5943942848305,1,0.0244047283336761,43576.9469237981
0,22,5,3.9905306773594,1,0.0380656240165383,43086.9094578417
0,23,1,5.68692399113292,1,0.0315346577984973,42826.5219902314
0,23,2,2.86753383991978,1,0.0482024720100962,42996.0053686095
0,23,3,8.40978049871038,1,0.0112614355710253,43597.5372616859
0,23,4,9.23088971694742,1,0.0245022828573254,43606.8558146281
0,23,5,8.56001977973931,1,0.0448116517932655,43656.8230726116
0,24,1,-0.117902998618243,2,0.0852649568185766,43769.42172076
0,24,2,1.92652010429671,2,0.0309445395786307,43495.7038448473
0,24,3,-2.98871520703353,2,0.035241306102646,43586.7041641189
0,24,4,-3.09532016754685,2,0.0303671972751686,43431.3207313019
0,24,5,-3.10444798265303,2,0.0204948234672846,43426.8395336133
0,25,1,-6.04806351836819,5,0.0454969870953232,43961.2129864277
0,25,2,7.64069122704454,5,0.0389195927314673,44275.2217999818
0,25,3,1.09777719553244,5,0.059204996068717,43235.4254260751
0,25,4,-5.35397851053599,5,0.0371016442233738,43670.395831833
0,25,5,8.10890568612101,5,0.0115248143450231,43989.198980495
0,26,1,8.3527243721675,1,0.0465566268940842,43217.2294083713
0,26,2,-0.603474660631481,1,0.0384354171151439,43446.4697563048
0,26,3,15.320271640504,1,-0.00809934376940666,44031.2379955419
0,26,4,10.8944334553469,1,0.0461175954160879,43626.976051836
0,26,5,-0.0614159592357458,1,0.0218723230884054,43749.7167888883
0,27,1,8.63299435938139,2,0.0356892015286398,43669.6345257039
0,27,2,6.43042363615099,2,-0.00374772046529351,43625.5896187695
0,27,3,6.67179560390168,2,0.0180382626436368,43191.3165383794
0,27,4,5.18227993490964,2,0.0146133767263421,43069.2421992058
0,27,5,0.314391329869753,2,0.00579604746333166,43319.4377608639
0,28,1,2.70939806263651,3,0.0444130234117307,43787.5240534625
0,28,2,2.28082649625985,3,0.0529754107358128,43410.480174981
0,28,3,0.592288562737584,3,0.0162951255499693,43401.2126733888
0,28,4,14.0380678004512,3,-0.00192300864976869,43624.2520512559
0,28,5,6.6965946680697,3,-0.00758209516725515,43833.8395964656
0,29,1,6.4840991012738,5,0.0645173990094666,43273.9331269574
0,29,2,17.6236340290488,5,0.0562318235940893,43943.9485209809
0,29,3,11.6090120027329,5,-0.0201198133434626,43833.7848337691
0,29,4,15.3323299242281,5,0.0130497586372409,43586.6806539762
0,29,5,18.8053396179686,5,0.0143486857636092,44028.4588537295
0,30,1,0.887170887042505,3,0.0239641270694995,42951.6415791527
0,30,2,9.35242089692998,3,0.0337902763259321,43873.5965981414
0,30,3,7.74594267904606,3,0.00523237752313467,43351.315352855
0,30,4,8.01227547618792,3,0.00594050022799424,43254.1474577101
0,30,5,7.28664160399213,3,0.000433846706072625,43506.3135247271
0,31,1,1.92743203823174,3,0.055858161954641,43687.7559460679
0,31,2,14.4601985279605,3,0.0092945850771714,43696.3260196504
0,31,3,7.95955713125971,3,0.0170771258648048,43213.4177384279
0,31,4,3.94049763297182,3,0.010352191509507,43503.2492979566
0,31,5,-2.1070739698166,3,0.0133921966372922,43805.4040301286
0,32,1,9.11210720652409,3,0.0731762461708639,43658.4280020752
0,32,2,5.72127483836839,3,0.0348105305379917,43469.4484219759
0,32,3,12.6489405815296,3,0.0116145601962407,43098.9898071377
0,32,4,1.19984021696499,3,0.0118955649941167,43520.8050058092
0,32,5,0.366967541253251,3,0.0158472502133934,43764.0101442234
0,33,1,5.87261359387141,1,-0.0246916783118129,43043.281347655
0,33,2,7.41763325452792,1,0.0112892070035796,43214.9667447887
0,33,3,12.2606075528827,1,0.00991915096776231,43691.8472104096
0,33,4,5.23816984189858,1,0.0392671694601274,43204.4237128169
0,33,5,17.1208674644385,1,0.00444572870121861,43671.605275872
0,34,1,0.226120455374642,1,0.0562879454518549,43145.163883874
0,34,2,8.5128894299939,1,0.0203088135798534,43350.3135600961
0,34,3,6.1512876721109,1,0.0132208191221664,43499.4750688707
0,34,4,3.12860945307526,1,-0.00330101994533264,43342.7407420711
0,34,5,3.96121659673508,1,0.00766203973367419,43976.7532251085
0,35,1,0.195705029523313,2,0.0530652185074256,44123.8129203906
0,35,2,3.47183132812457,2,0.0348119721568155,43461.8219121489
0,35,3,8.2778013795612,2,0.0230776540600009,43615.8880133433
0,35,4,-0.08125310119796,2,0.0018415844150737,43832.4701376644
0,35,5,1.9904477022084,2,0.0418445770690117,44323.7670739667
0,36,1,13.8470703686811,1,0.0258132888099856,43260.8119087553
0,36,2,5.72559861346839,1,0.0204779571002475,43728.5360685368
0,36,3,-9.1037414696953,1,0.0167704958092089,44442.8837319399
0,36,4,6.09583139099863,1,0.00812515911665908,43850.5126612069
0,36,5,5.55376335674805,1,0.0273780752651464,43306.3556763825
0,37,1,17.024849702473,1,0.0122001347992069,43317.4102823595
