"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","se_rate_baseline","se_rate_cf","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Cancellation",10000,87,3,-5940.40945939787,12009.7636840034,11967.093128849,-2.39187941594347,0.282,0.275254900047039,0.0445918179155967,2,5,4,2
"Cancellation",10000,87,4,-5941.16871663057,12057.3339003287,11999.4238611906,0.518957732236762,0.282,0.283463460804908,-4.35111906499853e-05,2,5,4,2
"Cancellation",10000,87,5,-5957.55334149997,12136.1548519274,12063.0053288055,0.7480243349047,0.282,0.284109428624431,-0.0193821885125393,2,5,4,2
"Cancellation",10000,88,1,-5955.28737655408,11947.4161145961,11935.2245274091,0.892384442345695,0.2837,0.286231694662935,0.00810925944121904,1,3,4,1
"Cancellation",10000,88,2,-5952.73721720083,11988.3674977494,11960.9364265787,0.601362433477315,0.2837,0.285406065223775,0.022110760708439,1,3,4,1
"Cancellation",10000,88,3,-5952.75335016579,12034.4514655392,11991.7809103848,-0.28005851668654,0.2837,0.28290547398816,0.00892916416700283,1,3,4,1
"Cancellation",10000,88,4,-5958.88462610303,12092.7657192736,12034.8556801355,0.134565010067721,0.2837,0.284081760933562,0.00535912234479107,1,3,4,1
"Cancellation",10000,88,5,-5966.16217111533,12153.3725111581,12080.2229880363,-1.95943914103743,0.2837,0.278141071156877,0.0186840535129273,1,3,4,1
"Cancellation",10000,89,1,-6025.01232798364,12086.8660174552,12074.6744302682,-5.7409873931967,0.2916,0.274859280761438,0.139111369143036,1,3,5,1
"Cancellation",10000,89,2,-6031.14401503073,12145.1810934092,12117.7500222385,-0.721104296780379,0.2916,0.289497259870588,0.025266613346729,1,3,5,1
"Cancellation",10000,89,3,-6032.89414822687,12194.7330616614,12152.062506507,0.448698525042336,0.2916,0.292908404899023,-0.00362845218867356,1,3,5,1
