"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,72,5,-6845.68300879485,13912.4141865171,24,0,0,0.4346,0.4346,-3440972.34327547,TRUE,3,4,5,3
10000,73,1,-145127886806.61,290255773650.061,4,-0.770000000000001,-3.06772908366534,0.2433,0.251,-821849.944995105,FALSE,2,3,5,2
10000,73,2,-6860.25940420821,13803.4118717642,9,0,0,0.4404,0.4404,1633475.93948257,TRUE,2,3,5,2
10000,73,3,-6860.25940420821,13849.4635736241,14,0,0,0.4404,0.4404,-2177446.32946917,TRUE,2,3,5,2
10000,73,4,-6860.25940420821,13895.515275484,19,0,0,0.4404,0.4404,-1452827.49898759,TRUE,2,3,5,2
10000,73,5,-6860.2594042627,13941.5669774528,24,1.98321914446353e-09,4.50322239913026e-09,0.440399999994643,0.440399999974811,-11499905.2013647,TRUE,2,3,5,2
10000,74,1,-510326088535.646,1020652177108.13,4,0,NA,0,0,-15385308.8195713,FALSE,2,3,5,2
10000,74,2,-6846.7321736082,13776.3574105642,9,0,0,0.435,0.435,-7187295.64690806,TRUE,2,3,5,2
10000,74,3,-6846.84292258435,13822.6306103764,14,-0.00207552724905691,-0.0047710993645736,0.435,0.435020755272491,3876935.56184819,TRUE,2,3,5,2
10000,74,4,-6846.7321736082,13868.460814284,19,0,0,0.435,0.435,-2432096.32039153,TRUE,2,3,5,2
10000,74,5,-6846.7321736082,13914.5125161438,24,0,0,0.435,0.435,-2938207.80091038,TRUE,2,3,5,2
10000,75,1,-652565431746.294,1305130863529.43,4,0,NA,0,0,-47050800.8007014,FALSE,2,3,5,2
10000,75,2,-6850.09703650768,13783.0871363631,9,0,0,0.4363,0.4363,-6588775.75974575,TRUE,2,3,5,2
10000,75,3,-6850.09703650768,13829.138838223,14,0,0,0.4363,0.4363,-3847573.21645625,TRUE,2,3,5,2
10000,75,4,-6850.09703650768,13875.1905400829,19,0,0,0.4363,0.4363,16115450.1902883,TRUE,2,3,5,2
10000,75,5,-6850.09703650768,13921.2422419428,24,0,0,0.4363,0.4363,3736299.22900941,TRUE,2,3,5,2
10000,76,1,-526888194591.699,1053776389220.24,4,-0.0099999999999989,-0.0161890885543126,0.6176,0.6177,-10084.8869363442,FALSE,2,3,5,2
10000,76,2,-6872.60339829754,13828.0998599429,9,0,0,0.4458,0.4458,9796154.57732896,TRUE,2,3,5,2
10000,76,3,-6872.60339829754,13874.1515618028,14,0,0,0.4458,0.4458,19466776.0692451,TRUE,2,3,5,2
10000,76,4,-6872.60339829754,13920.2032636626,19,0,0,0.4458,0.4458,984994.239755078,TRUE,2,3,5,2
10000,76,5,-6872.60339829755,13966.2549655225,24,0,0,0.4458,0.4458,-1369770.91535365,TRUE,2,3,5,2
10000,77,1,-533385864470.208,1066771728977.26,4,-2.5,-11.0963160230803,0.2003,0.2253,-3071035.44324081,FALSE,2,3,5,2
10000,77,2,-6850.09703650768,13783.0871363631,9,0,0,0.4363,0.4363,-3999043.33413365,TRUE,2,3,5,2
10000,77,3,-6850.09703650768,13829.138838223,14,0,0,0.4363,0.4363,9626791.56222103,TRUE,2,3,5,2
10000,77,4,-6850.09703650768,13875.1905400829,19,0,0,0.4363,0.4363,2380122.38758084,TRUE,2,3,5,2
10000,77,5,-6850.09703650768,13921.2422419428,24,0,0,0.4363,0.4363,-4460768.53585854,TRUE,2,3,5,2
