cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
10740,2017,1,2,30-44,0,0,3
10740,2017,1,4,30-44,0,,1
10740,2017,2,1,30-44,0,.49884215,2
10740,2017,2,2,30-44,.13410236,.53820872,14
10740,2017,2,5,30-44,0,0,1
10740,2017,2,6,30-44,.31117353,.65069544,3
10740,2017,3,1,30-44,0,1,1
10740,2017,3,2,30-44,0,.617742,12
10740,2017,3,4,30-44,0,0,1
10740,2017,3,6,30-44,.27864265,.59447873,7
10740,2017,4,1,30-44,0,1,1
10740,2017,4,2,30-44,0,.73014152,14
10740,2017,4,3,30-44,0,.5827055,2
10740,2017,4,6,30-44,.085117966,.50117916,11
10740,2017,1,2,45-64,0,0,3
10740,2017,2,2,45-64,.081591681,.29454008,11
10740,2017,2,6,45-64,0,.79236627,5
10740,2017,3,2,45-64,0,.46577466,7
10740,2017,3,6,45-64,.065635361,.44406471,17
10740,2017,4,1,45-64,0,1,1
10740,2017,4,2,45-64,.07146693,.45600572,13
10740,2017,4,3,45-64,0,0,1
10740,2017,4,4,45-64,0,0,1
10740,2017,4,6,45-64,.15780678,.2177036,37
10740,2019,2,1,18-29,0,,1
10740,2019,2,2,18-29,0,,1
10740,2019,2,6,18-29,0,,2
10740,2019,3,1,18-29,0,,1
10740,2019,3,2,18-29,0,,6
10740,2019,3,6,18-29,0,,7
10740,2019,4,2,18-29,0,,2
10740,2019,4,3,18-29,0,,1
10740,2019,4,4,18-29,0,,2
10740,2019,4,6,18-29,.28884995,,4
10740,2019,1,2,30-44,.19299904,,5
10740,2019,1,4,30-44,1,,1
10740,2019,2,1,30-44,0,,1
10740,2019,2,2,30-44,.16130556,,7
10740,2019,2,6,30-44,0,,3
10740,2019,3,1,30-44,0,,1
10740,2019,3,2,30-44,0,,10
10740,2019,3,3,30-44,1,,1
10740,2019,3,4,30-44,0,,2
10740,2019,3,6,30-44,0,,8
10740,2019,4,1,30-44,0,,2
10740,2019,4,2,30-44,.1480315,,8
10740,2019,4,4,30-44,0,,2
10740,2019,4,6,30-44,0,,15
10740,2019,4,7,30-44,0,,1
10740,2019,1,2,45-64,.12151237,,7
10740,2019,1,6,45-64,0,,1
10740,2019,2,2,45-64,0,,12
10740,2019,2,4,45-64,0,,1
10740,2019,2,6,45-64,.16379119,,7
10740,2019,3,2,45-64,.25500175,,11
10740,2019,3,4,45-64,0,,1
10740,2019,3,6,45-64,.069936812,,15
10740,2019,4,2,45-64,.42497441,,7
10740,2019,4,3,45-64,0,,2
10740,2019,4,4,45-64,0,,2
10740,2019,4,6,45-64,.30704853,,31
10740,2021,1,2,18-29,0,,2
10740,2021,2,2,18-29,0,,3
10740,2021,2,4,18-29,0,,2
10740,2021,2,6,18-29,0,,3
10740,2021,2,7,18-29,0,,3
10740,2021,3,1,18-29,0,,1
10740,2021,3,2,18-29,0,,4
10740,2021,3,6,18-29,0,,3
10740,2021,4,2,18-29,0,,2
10740,2021,4,3,18-29,0,,2
10740,2021,4,6,18-29,.07465373,,13
10740,2021,1,4,30-44,0,,1
10740,2021,2,2,30-44,0,,2
10740,2021,2,3,30-44,0,,1
10740,2021,2,4,30-44,0,,1
10740,2021,2,6,30-44,0,,4
10740,2021,3,2,30-44,.17288806,,5
10740,2021,3,4,30-44,0,,3
10740,2021,3,6,30-44,0,,6
10740,2021,3,7,30-44,0,,2
10740,2021,4,2,30-44,0,,6
10740,2021,4,3,30-44,0,,1
10740,2021,4,4,30-44,0,,1
10740,2021,4,6,30-44,.07803987,,23
10740,2021,4,7,30-44,.4315156,,2
10740,2021,1,2,45-64,.38545296,,3
10740,2021,2,2,45-64,.13796873,,6
10740,2021,2,3,45-64,0,,1
10740,2021,2,4,45-64,0,,1
10740,2021,2,6,45-64,0,,3
10740,2021,3,1,45-64,0,,2
10740,2021,3,2,45-64,.36220583,,10
10740,2021,3,4,45-64,0,,1
10740,2021,3,6,45-64,0,,12
10740,2021,4,1,45-64,0,,1
10740,2021,4,2,45-64,.35157028,,7
10740,2021,4,4,45-64,0,,1
10740,2021,4,6,45-64,0,,27
10740,2021,4,7,45-64,0,,1
10740,2023,1,2,18-29,0,,1
10740,2023,1,4,18-29,0,,1
10740,2023,1,6,18-29,0,,1
10740,2023,2,2,18-29,.41245466,,4
10740,2023,2,6,18-29,0,,4
10740,2023,3,2,18-29,0,,4
10740,2023,3,6,18-29,0,,1
10740,2023,3,7,18-29,0,,1
10740,2023,4,2,18-29,0,,4
10740,2023,4,6,18-29,0,,3
10740,2023,1,2,30-44,.55979747,,2
10740,2023,1,4,30-44,0,,1
10740,2023,2,1,30-44,0,,1
10740,2023,2,2,30-44,0,,5
10740,2023,2,6,30-44,0,,2
10740,2023,2,7,30-44,0,,1
10740,2023,3,2,30-44,.1446795,,9
10740,2023,3,4,30-44,0,,1
10740,2023,3,6,30-44,0,,7
10740,2023,4,2,30-44,.24711566,,4
10740,2023,4,3,30-44,1,,1
10740,2023,4,4,30-44,0,,1
10740,2023,4,6,30-44,.043766942,,23
10740,2023,1,2,45-64,.27688155,,7
10740,2023,1,6,45-64,0,,2
10740,2023,2,2,45-64,.15669964,,5
10740,2023,2,6,45-64,.14340062,,6
10740,2023,3,2,45-64,0,,7
10740,2023,3,3,45-64,0,,1
10740,2023,3,4,45-64,.32821754,,2
10740,2023,3,6,45-64,0,,6
10740,2023,3,7,45-64,0,,1
10740,2023,4,1,45-64,0,,2
10740,2023,4,2,45-64,.23751071,,4
10740,2023,4,6,45-64,.084444553,,22
10900,2013,2,6,18-29,.47562712,.52437288,2
10900,2013,3,1,18-29,0,0,1
10900,2013,3,2,18-29,0,0,1
10900,2013,3,6,18-29,0,0,3
10900,2013,4,6,18-29,0,.29549837,7
10900,2013,1,2,30-44,0,0,1
10900,2013,2,2,30-44,0,0,1
10900,2013,2,6,30-44,0,0,4
10900,2013,3,6,30-44,0,0,2
10900,2013,4,3,30-44,0,0,1
10900,2013,4,6,30-44,.24608968,.24608968,4
10900,2013,1,6,45-64,0,0,1
10900,2013,2,3,45-64,0,0,1
10900,2013,2,6,45-64,0,.49649972,10
10900,2013,3,2,45-64,0,0,1
10900,2013,3,6,45-64,0,0,8
10900,2013,4,1,45-64,0,0,1
10900,2013,4,6,45-64,0,0,2
10900,2015,2,1,18-29,0,1,1
10900,2015,2,6,18-29,0,1,1
