cbsa,year,hsupwgtk,age,metro,pct_broadband,female,married,se,branch,educ_cat,inc_quint,race_black,race_hispanic
11700,2023,10.152301,33,1,87.800003,0,0,0,1,3,4,0,0
34980,2023,7.8703523,22,1,91.599998,1,0,0,0,3,3,0,0
34740,2013,0,50,1,86.699997,1,0,0,0,3,2,0,0
27140,2013,4.7663965,32,1,87.300003,0,1,0,1,4,3,0,0
27140,2015,0,44,1,87.300003,1,1,0,0,4,5,0,0
24540,2023,8.3561678,31,1,92,0,0,0,1,3,5,0,0
16980,2023,6.8144135,23,1,90.800003,0,0,0,1,3,3,1,0
26420,2023,8.880496,35,1,91.800003,0,0,1,1,4,5,0,0
41700,2023,8.5965424,37,1,90.599998,0,1,0,1,3,5,0,0
17780,2023,5.4370608,44,1,84.300003,1,1,0,1,4,4,0,0
12420,2023,7.9974675,45,1,93.5,1,0,1,1,1,3,0,1
26980,2023,3.6595731,27,1,89.300003,0,0,0,1,4,5,0,0
44180,2023,4.0667362,34,1,85.400002,1,1,0,1,2,4,0,0
41620,2023,2.5924814,29,1,93.800003,0,0,0,1,4,5,0,0
26620,2015,0,50,1,91,0,1,0,0,4,5,0,0
35980,2013,0,54,1,90.699997,0,1,0,0,4,5,0,0
49340,2017,4.374661,57,1,92,1,0,0,1,3,3,0,0
49340,2017,0,41,1,92,0,1,0,0,3,4,0,0
49340,2017,0,29,1,92,0,1,0,0,4,5,0,0
24340,2015,5.4741273,39,1,90.400002,1,0,0,1,2,3,0,0
24340,2019,5.1340451,41,1,90.400002,1,1,0,1,4,5,0,0
22220,2021,2.1283293,36,1,91.199997,0,0,0,0,4,5,0,0
41860,2015,5.2718282,27,1,94.099998,0,0,0,1,4,5,0,0
31080,2019,0,37,1,92.400002,0,1,0,0,3,5,0,0
31080,2021,5.1662583,45,1,92.400002,1,1,0,1,4,5,0,0
49340,2017,3.5781765,52,1,92,1,1,0,1,4,5,0,0
30780,2013,3.1978047,18,1,88.5,0,0,0,1,3,1,1,0
17820,2013,2.2157736,31,1,94.599998,0,1,0,0,2,3,0,0
35620,2013,5.1945009,32,1,90.900002,1,1,0,1,4,4,1,0
35620,2013,5.8463058,36,1,90.900002,0,1,0,1,4,5,0,0
14860,2015,5.7633114,54,1,92.900002,0,1,0,1,3,5,0,0
22900,2017,0,43,1,83.599998,0,0,1,0,3,4,0,0
31080,2013,0,49,1,92.400002,0,1,0,0,1,3,0,1
31080,2013,3.6869197,55,1,92.400002,0,1,0,1,1,5,0,1
49340,2017,3.8742478,53,1,92,1,1,0,1,4,5,0,0
41740,2023,6.0511379,48,1,94.300003,1,0,0,1,4,5,0,0
35620,2017,0,38,1,90.900002,0,1,0,0,1,1,0,1
35620,2015,4.8909082,57,1,90.900002,0,0,0,0,2,2,0,1
25860,2019,6.85918,43,1,85.699997,1,1,0,1,3,4,0,0
16740,2017,0,52,1,91.699997,0,1,0,0,4,5,0,0
35620,2019,0,57,1,90.900002,1,0,0,0,4,4,0,0
24660,2019,5.0742803,53,1,87.900002,0,0,0,1,4,5,0,0
24660,2021,6.9486136,57,1,87.900002,0,1,0,1,3,5,0,0
24660,2019,0,31,1,87.900002,1,0,0,0,4,5,1,0
31080,2017,0,47,1,92.400002,0,1,0,0,1,3,0,1
35620,2017,0,54,1,90.900002,1,0,0,0,3,5,0,1
35620,2019,0,46,1,90.900002,1,0,0,0,3,5,0,0
35620,2017,6.7211442,49,1,90.900002,0,0,0,1,4,3,0,1
35620,2017,0,45,1,90.900002,1,1,0,0,3,5,0,0
16740,2017,0,61,1,91.699997,0,1,1,0,4,3,0,0
46140,2017,2.9767323,58,1,89.599998,0,1,0,1,4,5,0,0
35620,2017,8.3724413,41,1,90.900002,0,1,0,0,1,4,0,0
35620,2019,0,38,1,90.900002,1,1,0,0,2,5,0,0
40140,2015,0,49,1,92.5,1,1,0,0,3,4,0,1
41860,2021,5.0183105,61,1,94.099998,1,0,0,1,3,5,0,0
